title,summary,updated,slug,parsedContentBody,summary,title,published,metadata,categories,href,author
Gather.Town,"<!-- Title of Software, description and OS that it works on-->
<h2><a id=""gather""></a>Gather.Town</h2>

<p><a href=""https://gather.town/"">Gather.Town</a> is a popular platform for creating and enabling video-chat in virtual spaces, for ‘meet and greets’, collaborations, classes, social events and more.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i> macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i> Linux</div>

<!-- Instructions to download and links-->
<h3>How to get it</h3>

<div class=""iconBullet""> 
  <p>The University has worked closely with Gather to establish a Data Processing Agreement that satisfies our legal requirements and supersedes the standard terms offered on the Gather website. <a href=""gather_dpa_ohs_updates_2_4129-4378-7051_1_1_1_2.docx.pdf"" target=""_blank"" rel=""noopener"">A link to the DPA is here.</a>  </p>

  <p>You do not require an exception to use Gather.Town. However we do remind all University staff creating and hosting events to complete their relevant <a href=""https://warwick.ac.uk/services/sim/training/"">Security and Information Management training</a> and take all the necessary steps to protect themselves and their delegates online.</p>

  <p>Furthermore, we remind users that since there is no formal licence agreement in place at the University for Gather.Town, <strong>IDG are unable to provide any support. If you require assistance, you would need to contact Gather.Town directly. </strong>  </p>

  <p>To create a space for free, navigate to the <a href=""https://gather.town/"">Gather.Town website</a>, select 'Launch Gather' and sign up with your University of Warwick email address.</p>

  <p>If you choose to increase your space's capacity, you will need to purchase this.</p>

</div>

",1625853883395,gathertown,"<!-- Title of Software, description and OS that it works on-->
<h2><a id=""gather""></a>Gather.Town</h2>

<p><a href=""https://gather.town/"">Gather.Town</a> is a popular platform for creating and enabling video-chat in virtual spaces, for ‘meet and greets’, collaborations, classes, social events and more.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i> macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i> Linux</div>

<!-- Instructions to download and links-->
<h3>How to get it</h3>

<div class=""iconBullet""> 
  <p>The University has worked closely with Gather to establish a Data Processing Agreement that satisfies our legal requirements and supersedes the standard terms offered on the Gather website. <a href=""gather_dpa_ohs_updates_2_4129-4378-7051_1_1_1_2.docx.pdf"" target=""_blank"" rel=""noopener"">A link to the DPA is here.<i class='new-window-link' title='Link opens in a new window'></i></a>  </p>

  <p>You do not require an exception to use Gather.Town. However we do remind all University staff creating and hosting events to complete their relevant <a href=""https://warwick.ac.uk/services/sim/training/"">Security and Information Management training</a> and take all the necessary steps to protect themselves and their delegates online.</p>

  <p>Furthermore, we remind users that since there is no formal licence agreement in place at the University for Gather.Town, <strong>IDG are unable to provide any support. If you require assistance, you would need to contact Gather.Town directly. </strong>  </p>

  <p>To create a space for free, navigate to the <a href=""https://gather.town/"">Gather.Town website</a>, select 'Launch Gather' and sign up with your University of Warwick email address.</p>

  <p>If you choose to increase your space's capacity, you will need to purchase this.</p>

</div>

","<a href=""https://gather.town/"">Gather.Town</a> is a popular platform for creating and enabling video-chat in virtual spaces, for ‘meet and greets’, collaborations, classes, social events and more.","<a id=""gather""></a>Gather.Town",1625853883395,,"Collaborative,Free of Charge,Linux,MacOS,Video Conferencing,Windows",,Patrick Ryan
H5P,"<h2>H5P</h2>

<p>H5P is an in-built Moodle activity that enables the creation of interactive content from H5Ps expansive content types including, course presentation, interactive video, branching scenario and interactive book.</p>

<h3>How to get it</h3>

<p>For guidance and support using H5P, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

",1636393800038,h5p,"<h2>H5P</h2>

<p>H5P is an in-built Moodle activity that enables the creation of interactive content from H5Ps expansive content types including, course presentation, interactive video, branching scenario and interactive book.</p>

<h3>How to get it</h3>

<p>For guidance and support using H5P, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

","H5P is an in-built Moodle activity that enables the creation of interactive content from H5Ps expansive content types including, course presentation, interactive video, branching scenario and interactive book.",H5P,1636393800038,,"Site-wide Licence,Staff,Students,VLE,Interactive Content",,Patrick Ryan
Inkscape,"<h2>Inkscape</h2>
<p class=""summary"">Inkscape is a Free and open source&nbsp;<a href=""http://en.wikipedia.org/wiki/Comparison_of_vector_graphics_editors"">vector graphics editor</a>&nbsp;for GNU/Linux, Windows and macOS. It offers a rich set of features and is widely used for both artistic and technical illustrations such as cartoons, clip art, logos, typography, diagramming and flowcharting. It uses&nbsp;<a href=""http://en.wikipedia.org/wiki/Vector_graphics"">vector graphics</a>&nbsp;to allow for sharp printouts and renderings at unlimited resolution and is not bound to a fixed number of pixels like raster graphics. Inkscape uses the standardized&nbsp;<a href=""http://www.w3.org/Graphics/SVG/"">SVG file format</a>&nbsp;as its main format, which is supported by many other applications including web browsers.</p>
<p>It can import and export various file formats, including SVG, AI, EPS, PDF, PS and PNG. It has a&nbsp;<a href=""https://inkscape.org/about/features/"">comprehensive feature set</a>, a&nbsp;<a href=""https://inkscape.org/about/screenshots/"">simple interface</a>, multi-lingual support and is designed to be extensible; users can customize Inkscape's functionality with&nbsp;<a href=""https://inkscape.org/gallery/=extension/"">add-ons</a>.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOSX</div>
<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>
<h2>How to get it</h2>
<p>Can be downloaded from the <a href=""https://inkscape.org/"">Inkscape website.</a></p>",1661450028886,inkscape,"<h2>Inkscape</h2>
<p class=""summary"">Inkscape is a Free and open source&nbsp;<a href=""http://en.wikipedia.org/wiki/Comparison_of_vector_graphics_editors"">vector graphics editor</a>&nbsp;for GNU/Linux, Windows and macOS. It offers a rich set of features and is widely used for both artistic and technical illustrations such as cartoons, clip art, logos, typography, diagramming and flowcharting. It uses&nbsp;<a href=""http://en.wikipedia.org/wiki/Vector_graphics"">vector graphics</a>&nbsp;to allow for sharp printouts and renderings at unlimited resolution and is not bound to a fixed number of pixels like raster graphics. Inkscape uses the standardized&nbsp;<a href=""http://www.w3.org/Graphics/SVG/"">SVG file format</a>&nbsp;as its main format, which is supported by many other applications including web browsers.</p>
<p>It can import and export various file formats, including SVG, AI, EPS, PDF, PS and PNG. It has a&nbsp;<a href=""https://inkscape.org/about/features/"">comprehensive feature set</a>, a&nbsp;<a href=""https://inkscape.org/about/screenshots/"">simple interface</a>, multi-lingual support and is designed to be extensible; users can customize Inkscape's functionality with&nbsp;<a href=""https://inkscape.org/gallery/=extension/"">add-ons</a>.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOSX</div>
<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>
<h2>How to get it</h2>
<p>Can be downloaded from the <a href=""https://inkscape.org/"">Inkscape website.</a></p>","Inkscape is a Free and open source&nbsp;<a href=""http://en.wikipedia.org/wiki/Comparison_of_vector_graphics_editors"">vector graphics editor</a>&nbsp;for GNU/Linux, Windows and macOS. It offers a rich set of features and is widely used for both artistic and technical illustrations such as cartoons, clip art, logos, typography, diagramming and flowcharting. It uses&nbsp;<a href=""http://en.wikipedia.org/wiki/Vector_graphics"">vector graphics</a>&nbsp;to allow for sharp printouts and renderings at unlimited resolution and is not bound to a fixed number of pixels like raster graphics. Inkscape uses the standardized&nbsp;<a href=""http://www.w3.org/Graphics/SVG/"">SVG file format</a>&nbsp;as its main format, which is supported by many other applications including web browsers.",Inkscape,1661450028886,,"Design,Photo Editing",,Patrick Ryan
Kofax Power PDF Advanced,"<h2>Kofax Power PDF Advanced</h2>
<p>You can use Power PDF Advanced to convert other files into PDF format. It also adds a &quot;Save as PDF&quot; functionality to Microsoft Office programmes. This package was formally known as 'PDF Converter'.</p>
<h3>What does it work on?</h3>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<h3>How to get it</h3>
<h5>ITS Managed Machines</h5>
<p>Do not download from this page. You should be able to find the application in your Software Centre. Access by going to <em>Start &gt; All Programs &gt; Software Center</em>. If you can't see the software, please contact the <a href=""https://warwick.service-now.com/sp"">Help Desk</a>.</p>
<h5>Unmanaged Machines</h5>
<p>Staff and students can download for unmanaged machines via the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/pdfconverter"">Power PDF Advanced download page</a>.</p>",1652284000380,kofax-power-pdf-advanced,"<h2>Kofax Power PDF Advanced</h2>
<p>You can use Power PDF Advanced to convert other files into PDF format. It also adds a &quot;Save as PDF&quot; functionality to Microsoft Office programmes. This package was formally known as 'PDF Converter'.</p>
<h3>What does it work on?</h3>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<h3>How to get it</h3>
<h5>ITS Managed Machines</h5>
<p>Do not download from this page. You should be able to find the application in your Software Centre. Access by going to <em>Start &gt; All Programs &gt; Software Center</em>. If you can't see the software, please contact the <a href=""https://warwick.service-now.com/sp"">Help Desk</a>.</p>
<h5>Unmanaged Machines</h5>
<p>Staff and students can download for unmanaged machines via the <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/pdfconverter"">Power PDF Advanced download page</a>.</p>","You can use Power PDF Advanced to convert other files into PDF format. It also adds a ""Save as PDF"" functionality to Microsoft Office programmes. This package was formally known as 'PDF Converter'.",Kofax Power PDF Advanced,1652284000380,,"General,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
LabView & Circuit Design Suite,"<h2>LabView &amp; Circuit Design Suite</h2>

<p>The LabView and Circuit Design suite is graphical programming software from National Instruments.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<h3>How to get it</h3>

<p>The site licence is funded by Physics and Engineering, and you can download the software from the Engineering website.</p>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/fac/sci/eng/intranet/it/ni""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff and research Postgraduate students download here</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/fac/sci/eng/cadlab/software/nationalinstruments/""><i class=""fa fa-download"" aria-hidden=""true""></i> Undergraduate and MSc students download here</a></div>

",1592820166713,labview-circuit-design-suite,"<h2>LabView &amp; Circuit Design Suite</h2>

<p>The LabView and Circuit Design suite is graphical programming software from National Instruments.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<h3>How to get it</h3>

<p>The site licence is funded by Physics and Engineering, and you can download the software from the Engineering website.</p>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/fac/sci/eng/intranet/it/ni""><i class=""fa fa-download"" aria-hidden=""true""></i> Staff and research Postgraduate students download here</a></div>

<div class=""iconBullet""><a href=""http://www2.warwick.ac.uk/fac/sci/eng/cadlab/software/nationalinstruments/""><i class=""fa fa-download"" aria-hidden=""true""></i> Undergraduate and MSc students download here</a></div>

",The LabView and Circuit Design suite is graphical programming software from National Instruments.,LabView &amp; Circuit Design Suite,1592820166713,,"Students,Sciences & Maths,Site-wide Licence,Staff,Windows",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=L#labview-circuit-design-suite,Patrick Ryan
Mahara,"<h2>Mahara</h2>

<p>Mahara is the University online portfolio system. Online portfolios can be used to support reflective practice, blogging, capturing professional and personal development, planning, recording of placement or exchange activities and much more.</p>

<h3>How to get it</h3>

<p>For guidance and support using H5P, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

",1636393842999,mahara,"<h2>Mahara</h2>

<p>Mahara is the University online portfolio system. Online portfolios can be used to support reflective practice, blogging, capturing professional and personal development, planning, recording of placement or exchange activities and much more.</p>

<h3>How to get it</h3>

<p>For guidance and support using H5P, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

","Mahara is the University online portfolio system. Online portfolios can be used to support reflective practice, blogging, capturing professional and personal development, planning, recording of placement or exchange activities and much more.",Mahara,1636393842999,,"Site-wide Licence,Staff,Students,Portfolio",,Patrick Ryan
Maple,"<h2>Maple</h2>

<p>Maple is a Mathematical program. The University has a site licence and Windows, Linux and Mac versions can be downloaded from this page. The licence permits staff use on University &amp; personal machines, whereas student use is permitted on University-owned machines only. For the purposes of this licence, Postgraduate Students are classed as students and not staff.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h3>How to get it</h3>

<h5>ITS Managed Desktop</h5>

<p>Staff and Students can access Maple via the Software Centre on managed computers. Please see information <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/apps/maple"">here</a>. Do not download via this page if you use an ITS Managed Desktop.</p>

<h5>Unmanaged Machines</h5>

<p>Can be <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/maple"">downloaded via this page.</a></p>

",1592820226143,maple,"<h2>Maple</h2>

<p>Maple is a Mathematical program. The University has a site licence and Windows, Linux and Mac versions can be downloaded from this page. The licence permits staff use on University &amp; personal machines, whereas student use is permitted on University-owned machines only. For the purposes of this licence, Postgraduate Students are classed as students and not staff.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>

<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>

<h3>How to get it</h3>

<h5>ITS Managed Desktop</h5>

<p>Staff and Students can access Maple via the Software Centre on managed computers. Please see information <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/apps/maple"">here</a>. Do not download via this page if you use an ITS Managed Desktop.</p>

<h5>Unmanaged Machines</h5>

<p>Can be <a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/maple"">downloaded via this page.</a></p>

","Maple is a Mathematical program. The University has a site licence and Windows, Linux and Mac versions can be downloaded from this page. The licence permits staff use on University &amp; personal machines, whereas student use is permitted on University-owned machines only. For the purposes of this licence, Postgraduate Students are classed as students and not staff.",Maple,1592820226143,,"Students,Sciences & Maths,Site-wide Licence,Staff,Linux,Windows,MacOS",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=M#maple,Patrick Ryan
Mathematica,"<h2>Mathematica</h2>
<p>Mathematica is mathematical software, produced by Wolfram Research.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>
<h2>How to get it</h2>
<h3>ITS-Managed Desktops</h3>
<p>If you use an IDG-managed Windows or Linux desktop, you can access Mathematica as per the information <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/apps/mathematica"">here</a>.</p>
<h3>Unmanaged machines</h3>
<p>If you use an unmanaged machine, you can use the information on these pages to download and install Mathematica, for use on University or personally owned machines for University work.</p>
<p>The latest version available is Mathematica 12</p>
<p>Please follow the links below to download a version relevant to you:</p>
<div class=""iconBullet""><a href=""mathematicauniowned""><i class=""fa fa-download"" aria-hidden=""true""></i></a><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mathematica/mathematicauniowned"">Mathematica for University-owned machines</a></div>
<div class=""iconBullet""><a href=""../mathematicastaffhome""><i class=""fa fa-download"" aria-hidden=""true""></i>Mathematica for staff personally-owned machines</a></div>
<div class=""iconBullet""><a href=""../mathematicastudent""><i class=""fa fa-download"" aria-hidden=""true""></i>Mathematica for student* personally-owned machines</a></div>
<p>*includes postgraduates (taught or research)</p>",1660926608929,mathematica,"<h2>Mathematica</h2>
<p>Mathematica is mathematical software, produced by Wolfram Research.</p>
<h2>What does it work on?</h2>
<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>
<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS</div>
<div class=""iconBullet""><i class=""fa fa-linux"" aria-hidden=""true"">&nbsp;</i>Linux</div>
<h2>How to get it</h2>
<h3>ITS-Managed Desktops</h3>
<p>If you use an IDG-managed Windows or Linux desktop, you can access Mathematica as per the information <a href=""http://www2.warwick.ac.uk/services/its/servicessupport/workstationapplcndelivery/w7managed/apps/mathematica"">here</a>.</p>
<h3>Unmanaged machines</h3>
<p>If you use an unmanaged machine, you can use the information on these pages to download and install Mathematica, for use on University or personally owned machines for University work.</p>
<p>The latest version available is Mathematica 12</p>
<p>Please follow the links below to download a version relevant to you:</p>
<div class=""iconBullet""><a href=""mathematicauniowned""><i class=""fa fa-download"" aria-hidden=""true""></i></a><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mathematica/mathematicauniowned"">Mathematica for University-owned machines</a></div>
<div class=""iconBullet""><a href=""../mathematicastaffhome""><i class=""fa fa-download"" aria-hidden=""true""></i>Mathematica for staff personally-owned machines</a></div>
<div class=""iconBullet""><a href=""../mathematicastudent""><i class=""fa fa-download"" aria-hidden=""true""></i>Mathematica for student* personally-owned machines</a></div>
<p>*includes postgraduates (taught or research)</p>","Mathematica is mathematical software, produced by Wolfram Research.",Mathematica,1660926608929,,"Linux,MacOS,Sciences & Maths,Site-wide Licence,Staff,Students,Windows",,Patrick Ryan
MathType,"<h2>MathType</h2>

<p>MathType is a mathematical notation generation program for use with Microsoft Word. The University has a site licence, which allows staff and students to use it on a University or personal machine for work purposes.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS (not yet compatible with macOS Catalina. <strong>Do not</strong> upgrade to Catalina if you need to use MathType)</div>

<h2>How to get it</h2>

<h5>ITS Managed Desktop</h5>

<p>Do not download via this page. MathType is available via the Software Centre.</p>

<h5>Unmanaged Machines</h5>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mathtype"">Download via this page.</a></p>

",1592820256243,mathtype,"<h2>MathType</h2>

<p>MathType is a mathematical notation generation program for use with Microsoft Word. The University has a site licence, which allows staff and students to use it on a University or personal machine for work purposes.</p>

<h2>What does it work on?</h2>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true"">&nbsp;</i>Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true"">&nbsp;</i>macOS (not yet compatible with macOS Catalina. <strong>Do not</strong> upgrade to Catalina if you need to use MathType)</div>

<h2>How to get it</h2>

<h5>ITS Managed Desktop</h5>

<p>Do not download via this page. MathType is available via the Software Centre.</p>

<h5>Unmanaged Machines</h5>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mathtype"">Download via this page.</a></p>

","MathType is a mathematical notation generation program for use with Microsoft Word. The University has a site licence, which allows staff and students to use it on a University or personal machine for work purposes.",MathType,1592820256243,,"Students,Sciences & Maths,Site-wide Licence,Staff,Windows,MacOS",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=M#mathtype,Patrick Ryan
Microsoft Stream,"<h2>Microsoft Stream</h2>

<p>Stream is a Microsoft Office 365 video hosting and sharing platform. Members of the University can upload, view, organise and share videos.</p>

<p>Since Microsoft Stream is integrated with Office 365, it works seamlessly with other Microsoft products.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS</div>

<h3>How to get it</h3>

<div class=""iconBullet"">Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/video"">Academic Technology service pages</a> for full details and guides.</div>

",1623345112541,microsoft-stream,"<h2>Microsoft Stream</h2>

<p>Stream is a Microsoft Office 365 video hosting and sharing platform. Members of the University can upload, view, organise and share videos.</p>

<p>Since Microsoft Stream is integrated with Office 365, it works seamlessly with other Microsoft products.</p>

<h3>What does it work on?</h3>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> macOS</div>

<h3>How to get it</h3>

<div class=""iconBullet"">Please see our <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/video"">Academic Technology service pages</a> for full details and guides.</div>

","Stream is a Microsoft Office 365 video hosting and sharing platform. Members of the University can upload, view, organise and share videos.",Microsoft Stream,1623345112541,,"MacOS,Microsoft,Screen Capture,Site-wide Licence,Transcription,Video Hosting,Windows",,Patrick Ryan
Microsoft Whiteboard,"<h2>Microsoft Whiteboard</h2>

<p>Online whiteboard tool, included as part of the University's Microsoft Office 365 suite.</p>

<p>What does it work on?</p>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> MacOS</div>

<h3>How to get it</h3>

<p>You can log into the <a href=""https://app.whiteboard.microsoft.com/"">Whiteboard web app</a> using your University Office 365 credentials.</p>

",1623785493134,microsoft-whiteboard,"<h2>Microsoft Whiteboard</h2>

<p>Online whiteboard tool, included as part of the University's Microsoft Office 365 suite.</p>

<p>What does it work on?</p>

<div class=""iconBullet""><i class=""fa fa-windows"" aria-hidden=""true""></i> Windows</div>

<div class=""iconBullet""><i class=""fa fa-apple"" aria-hidden=""true""></i> MacOS</div>

<h3>How to get it</h3>

<p>You can log into the <a href=""https://app.whiteboard.microsoft.com/"">Whiteboard web app</a> using your University Office 365 credentials.</p>

","Online whiteboard tool, included as part of the University's Microsoft Office 365 suite.",Microsoft Whiteboard,1623785493134,,"Collaborative,MacOS,Microsoft,Online Whiteboard,Site-wide Licence,Staff,Students",,Patrick Ryan
MindJet MindManager,"<h2>MindJet MindManager</h2>

<p>MindManager is a mind-mapping application. The University has a site licence for the mind-mapping application MindManager. Staff and students are licensed to use the software on University and personally-owned machines.</p>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mindmanager"">Visit the MindManager download page.</a></p>

",1635371351150,mindjet-mindmanager,"<h2>MindJet MindManager</h2>

<p>MindManager is a mind-mapping application. The University has a site licence for the mind-mapping application MindManager. Staff and students are licensed to use the software on University and personally-owned machines.</p>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/mindmanager"">Visit the MindManager download page.</a></p>

",MindManager is a mind-mapping application. The University has a site licence for the mind-mapping application MindManager. Staff and students are licensed to use the software on University and personally-owned machines.,MindJet MindManager,1635371351150,,"Assistive,Diagram,General,MacOS,Mind Map,Planning,Site-wide Licence,Staff,Students,Windows,Workflow",,Patrick Ryan
Minitab,"<h2>Minitab</h2>

<p>'Minitab Express' is an introductory statistics package, whereas 'Minitab' is a more functional, advanced statistical analysis application.</p>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/minitab"">Visit the Minitab download page</a>.</p>

",1589285516903,minitab,"<h2>Minitab</h2>

<p>'Minitab Express' is an introductory statistics package, whereas 'Minitab' is a more functional, advanced statistical analysis application.</p>

<p><a href=""https://warwick.ac.uk/services/its/servicessupport/software/list/minitab"">Visit the Minitab download page</a>.</p>

","'Minitab Express' is an introductory statistics package, whereas 'Minitab' is a more functional, advanced statistical analysis application.",Minitab,1589285516903,,"Students,Site-wide Licence,Staff,Statistics & Analysis",https://warwick.ac.uk/services/its/servicessupport/software/list/summaries/?selectedLetter=M#minitab,Patrick Ryan
Miro,"<h2>Miro</h2>

<p>Miro is a sophisticated online whiteboard or 'infinite canvas' that can be used by staff and students at Warwick for collaborative work. It has a broad range of features and is flexible enough to be used in many teaching approaches.</p>

<p>It has the ability to create and reuse templates for lesson activities. These can be copied by students and edited to suit the course requirements.</p>

<h3>How to get it</h3>

<p>For more information on the platform, including instructions on how to sign up for free, please visit <a href=""https://warwick.ac.uk/services/academictechnology/support/guides/other-guides/miro"">Academic Technology's Miro pages</a>.</p>

",1635371160409,miro,"<h2>Miro</h2>

<p>Miro is a sophisticated online whiteboard or 'infinite canvas' that can be used by staff and students at Warwick for collaborative work. It has a broad range of features and is flexible enough to be used in many teaching approaches.</p>

<p>It has the ability to create and reuse templates for lesson activities. These can be copied by students and edited to suit the course requirements.</p>

<h3>How to get it</h3>

<p>For more information on the platform, including instructions on how to sign up for free, please visit <a href=""https://warwick.ac.uk/services/academictechnology/support/guides/other-guides/miro"">Academic Technology's Miro pages</a>.</p>

",Miro is a sophisticated online whiteboard or 'infinite canvas' that can be used by staff and students at Warwick for collaborative work. It has a broad range of features and is flexible enough to be used in many teaching approaches.,Miro,1635371160409,,"Collaborative,Free of Charge,Online Whiteboard,Staff,Students,Mind Map,Diagram,Ideation,Planning,Workflow,Design",,Patrick Ryan
Moodle,"<h2>Moodle</h2>

<p>Moodle is the University virtual learning environment*. Moodle provides spaces for educators to share content and learning activities and interact with their students online. Moodle includes built-in activities, resource types and integrations with other systems. For guidance and support using Moodle, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

<p> *WBS use MyWBS.</p>

<h3>How to get it</h3>

<p>Visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/vle"">Academic Technology Moodle pages</a>.</p>

",1625855465916,moodle,"<h2>Moodle</h2>

<p>Moodle is the University virtual learning environment*. Moodle provides spaces for educators to share content and learning activities and interact with their students online. Moodle includes built-in activities, resource types and integrations with other systems. For guidance and support using Moodle, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.</p>

<p> *WBS use MyWBS.</p>

<h3>How to get it</h3>

<p>Visit the <a href=""https://warwick.ac.uk/services/its/servicessupport/academictechnology/extendedclassroom/vle"">Academic Technology Moodle pages</a>.</p>

","Moodle is the University virtual learning environment*. Moodle provides spaces for educators to share content and learning activities and interact with their students online. Moodle includes built-in activities, resource types and integrations with other systems. For guidance and support using Moodle, contact <a href=""https://warwick.ac.uk/AcademicTechnology"">Academic Technology</a>.",Moodle,1625855465916,,"Collaborative,Site-wide Licence,Staff,Students,Surveys & Online assessment,VLE",,Patrick Ryan
